=== S4.2 SCAN (stcp-cross-platform-001 / p0-07) ===
Path     : E:\My Github Projects\SystemTools\Actions
Scope    : Source
Time(UTC): 2026-09-03T15:59:43Z
[HIT-GATE] AdjustScreenBrightnessAction.cs | R07 | :5: | using System.Management;
[INFO] SetVolume.cs | I08 | :68: | internal interface IMMDevice
[INFO] SetVolume.cs | I08 | :77: | internal interface IAudioEndpointVolume
[INFO] SetVolume.cs | I08 | :194: | public IMMDevice GetDefaultAudioEndpoint(EDataFlow dataFlow, ERole role)
[INFO] SetVolume.cs | I08 | :205: | public static IAudioEndpointVolume GetAudioEndpointVolume(this IMMDevice device)
[INFO] SetVolume.cs | I08 | :209: | return (IAudioEndpointVolume)result;
[INFO] SetVolume.cs | I08 | :212: | public static void SetMasterVolumeLevelScalar(this IMMDevice device, float level, Guid eventContext)
[INFO] SetVolume.cs | I08 | :218: | public static void SetMute(this IMMDevice device, bool mute, Guid eventContext)
[HIT-GATE] ShowDesktopAction.cs | R01 | :10: | using Windows.Win32;
[HIT-GATE] ShowDesktopAction.cs | R01 | :11: | using Windows.Win32.UI.Input.KeyboardAndMouse;
[HIT-GATE] ShowDesktopAction.cs | R02 | :29: | PInvoke.keybd_event(VK_LWIN, 0, 0, UIntPtr.Zero);
[INFO] ShowDesktopAction.cs | I01 | :29: | PInvoke.keybd_event(VK_LWIN, 0, 0, UIntPtr.Zero);
[HIT-GATE] ShowDesktopAction.cs | R02 | :32: | PInvoke.keybd_event(VK_D, 0, 0, UIntPtr.Zero);
[INFO] ShowDesktopAction.cs | I01 | :32: | PInvoke.keybd_event(VK_D, 0, 0, UIntPtr.Zero);
[HIT-GATE] ShowDesktopAction.cs | R02 | :35: | PInvoke.keybd_event(VK_D, 0, KEYBD_EVENT_FLAGS.KEYEVENTF_KEYUP, UIntPtr.Zero);
[INFO] ShowDesktopAction.cs | I01 | :35: | PInvoke.keybd_event(VK_D, 0, KEYBD_EVENT_FLAGS.KEYEVENTF_KEYUP, UIntPtr.Zero);
[HIT-GATE] ShowDesktopAction.cs | R02 | :38: | PInvoke.keybd_event(VK_LWIN, 0, KEYBD_EVENT_FLAGS.KEYEVENTF_KEYUP, UIntPtr.Zero);
[INFO] ShowDesktopAction.cs | I01 | :38: | PInvoke.keybd_event(VK_LWIN, 0, KEYBD_EVENT_FLAGS.KEYEVENTF_KEYUP, UIntPtr.Zero);
[HIT-GATE] ShutdownAction.cs | R03 | :7: | using System.Windows.Forms;
[HIT-GATE] ShutdownAction.cs | R21 | :32: | FileName = "shutdown",
[HIT-GATE] ShutdownAction.cs | X03 | :43: | SendKeys.SendWait("{ENTER}");
[HIT-GATE] SimulateKeyboardAction.cs | R01 | :11: | using Windows.Win32;
[HIT-GATE] SimulateKeyboardAction.cs | R02 | :51: | PInvoke.keybd_event(action.KeyCode, 0, 0, UIntPtr.Zero);
[INFO] SimulateKeyboardAction.cs | I01 | :51: | PInvoke.keybd_event(action.KeyCode, 0, 0, UIntPtr.Zero);
[HIT-GATE] SimulateKeyboardAction.cs | R02 | :54: | PInvoke.keybd_event(action.KeyCode, 0,
[INFO] SimulateKeyboardAction.cs | I01 | :54: | PInvoke.keybd_event(action.KeyCode, 0,
